state,hourly_min_wage,hourly_living_wage
ALABAMA,7.25,11.33
ALASKA,9.84,12.89
ARIZONA,10.5,11.68
ARKANSAS,8.5,10.62
CALIFORNIA,11,14.61
COLORADO,10.2,13.19
CONNECTICUT,10.1,13.13
DELAWARE,8.25,12.68
DISTRICT OF COLUMBIA,13.25,17.76
FLORIDA,8.25,12.17
GEORGIA,5.15,12.46
HAWAII,10.1,15.73
IDAHO,7.25,11.04
ILLINOIS,8.25,12.77
INDIANA,7.25,11.07
IOWA,7.25,10.89
KANSAS,7.25,10.96
KENTUCKY,7.25,10.82
LOUISIANA,7.25,11.28
MAINE,10,11.91
MARYLAND,10.1,15.08
MASSACHUSETTS,11,13.96
MICHIGAN,9.25,11.29
MINNESOTA,9.65,11.87
MISSISSIPPI,7.25,11.04
MISSOURI,7.85,11.14
MONTANA,8.3,11.38
NEBRASKA,9,11.02
NEVADA,8.25,11.26
NEW HAMPSHIRE,7.25,12.29
NEW JERSEY,8.6,13.92
NEW MEXICO,7.5,11.25
NEW YORK,10.4,15.09
NORTH CAROLINA,7.25,11.79
NORTH DAKOTA,7.25,11.12
OHIO,8.3,10.78
OKLAHOMA,7.25,10.95
OREGON,10.75,13.12
PENNSYLVANIA,7.25,11.45
RHODE ISLAND,10.1,12.35
SOUTH CAROLINA,7.25,11.55
SOUTH DAKOTA,8.85,10.38
TENNESSEE,7.25,10.75
TEXAS,7.25,11.48
UTAH,7.25,11.58
VERMONT,10.5,12.57
VIRGINIA,7.25,14.17
WASHINGTON,11.5,13.3
WEST VIRGINIA,8.75,10.84
WISCONSON,7.25,11.41
WYOMING,5.15,11.1
